Date,Name,Symbol,Open,High,Low,Close,Adj Close,Volume
05-04-2024,CAC 40,FCHI,8050.25,8062.01,8019.29,8061.31,8061.31,65166400
05-04-2024,ESTX 50 PR.EUR,STOXX50E,5043.61,5043.61,4985.67,5014.75,5014.75,36778900
05-04-2024,IPC MEXICO,MXX,57805.19,58227.84,57678.61,58092.44,58092.44,212252300
05-04-2024,Euronext 100 Index,N100,1526.03,1526.03,1510.35,1520.1,1520.1,387210200
05-04-2024,KOSPI Composite Index,KS11,2713.96,2730.47,2705.31,2714.21,2714.21,621000
05-04-2024,IDX COMPOSITE,JKSE,7245.32,7298.86,7239.27,7286.88,7286.88,94886600
05-04-2024,MERVAL,MERV,1183127,1216261,1183127,1214371,1214371,-
05-04-2024,IBOVESPA,BVSP,127422,127432,126394,126795,126795,9101300
05-04-2024,S&P/TSX Composite index,GSPTSE,22077.7,22316.9,22077,22264.4,22264.4,226864800
05-04-2024,NYSE COMPOSITE,NYA,17982.49,18162.45,17979.96,18122.26,18122.26,3386780000
05-04-2024,BEL 20,BFX,3831.15,3849.19,3824.13,3834.33,3834.33,4554800
05-04-2024,Cboe UK 100,BUK100P,796.99,796.99,788.41,790.22,790.22,-
05-04-2024,Dow Jones Industrial Average,DJI,38664.98,39040.17,38602.18,38904.04,38904.04,317110000
05-04-2024,ALL ORDINARIES,AORD,8072.5,8072.5,7995.6,8026,8026,1034899700
05-04-2024,NYSE AMEX COMPOSITE INDEX,XAX,4997.69,5065.91,4988.64,5051.19,5051.19,-
05-04-2024,DAX PERFORMANCE-INDEX,GDAXI,18401.83,18401.83,18088.03,18175.04,18175.04,77046500
05-04-2024,S&P/CLX IPSA,IPSA,-,-,-,-,-,-
05-04-2024,S&P 500,GSPC,5158.95,5222.18,5157.21,5204.34,5204.34,3386780000
05-04-2024,CBOE Volatility Index,VIX,16.45,16.75,15.53,16.03,16.03,-
05-04-2024,S&P/NZX 50 INDEX GROSS,NZ50,12035.26,12035.82,11927.62,12012.24,12012.24,19252300
05-04-2024,Nikkei 225,N225,39237.39,39274.76,38774.24,38992.08,38992.08,129600000
05-04-2024,S&P/ASX 200,AXJO,7817.3,7817.3,7741.5,7773.3,7773.3,497200
05-04-2024,MOEX Russia Index,IMOEX.ME,3393.2,3401.16,3385.42,3395.37,3395.37,-
05-04-2024,Top 40 USD Net TRI Index,JN0U.JO,3983.53,3983.53,3921.39,3952.5,3952.5,-
05-04-2024,S&P BSE SENSEX,BSESN,74287.02,74361.11,73946.92,74248.22,74248.22,11300
05-04-2024,HANG SENG INDEX,HSI,16787.93,16839.55,16480.36,16723.92,16723.92,1804396100
05-04-2024,NASDAQ Composite,IXIC,16095.4,16326.5,16080.48,16248.52,16248.52,4578130000
05-04-2024,Russell 2000,RUT,2051.88,2073.32,2048.25,2063.47,2063.47,3386780000
04-04-2024,BEL 20,BFX,3860.39,3887.91,3855.48,3872.45,3872.45,4895600
04-04-2024,S&P/ASX 200,AXJO,7782.5,7834.4,7782.5,7817.3,7817.3,537600
04-04-2024,Euronext 100 Index,N100,1531.73,1537.05,1529.57,1529.9,1529.9,253851400
04-04-2024,S&P/NZX 50 INDEX GROSS,NZ50,12040.49,12040.49,11996.29,12035.26,12035.26,22894800
04-04-2024,CAC 40,FCHI,8154.41,8189.66,8137.98,8151.55,8151.55,49450700
04-04-2024,Cboe UK 100,BUK100P,793.01,798.71,793.01,796.99,796.99,-
04-04-2024,Dow Jones Industrial Average,DJI,39343.6,39421.35,38559.42,38596.98,38596.98,356510000
04-04-2024,MOEX Russia Index,IMOEX.ME,3399.81,3409.62,3392.06,3407.57,3407.57,-
04-04-2024,IPC MEXICO,MXX,57539.47,58219.5,57514.18,57882.76,57882.76,184739700
04-04-2024,CBOE Volatility Index,VIX,14.29,16.92,13.74,16.35,16.35,-
04-04-2024,Nikkei 225,N225,39928.33,40243.02,39773.14,39773.14,39773.14,145100000
04-04-2024,S&P/CLX IPSA,IPSA,-,-,-,-,-,-
04-04-2024,IBOVESPA,BVSP,127313,129627,127178,127428,127428,13229200
04-04-2024,NYSE COMPOSITE,NYA,18146.64,18291.67,17956.75,17982.49,17982.49,4075680000
04-04-2024,KOSPI Composite Index,KS11,2738.24,2746.39,2727.1,2742,2742,478000
04-04-2024,DAX PERFORMANCE-INDEX,GDAXI,18366.37,18427.43,18340.24,18403.13,18403.13,62521400
04-04-2024,Russell 2000,RUT,2089.07,2101.47,2051.32,2053.83,2053.83,4075680000
04-04-2024,MERVAL,MERV,1212639,1232024,1181455,1183127,1183127,-
04-04-2024,NASDAQ Composite,IXIC,16418.57,16468.04,16046.56,16049.08,16049.08,5368700000
04-04-2024,NYSE AMEX COMPOSITE INDEX,XAX,5030.88,5046.75,4986.52,4997.69,4997.69,-
04-04-2024,IDX COMPOSITE,JKSE,7170.72,7254.4,7165.83,7254.4,7254.4,108900300
04-04-2024,S&P 500,GSPC,5244.05,5256.59,5146.06,5147.21,5147.21,4075680000
04-04-2024,TA-125,TA125.TA,1993.53,1994.8,1963.4,1978.07,1978.07,65950900
04-04-2024,S&P/TSX Composite index,GSPTSE,22156.3,22239.1,22001,22051.8,22051.8,243706600
04-04-2024,ESTX 50 PR.EUR,STOXX50E,5071.83,5089.33,5065.65,5070.76,5070.76,23602100
04-04-2024,ALL ORDINARIES,AORD,8033.6,8086.6,8033.6,8072.5,8072.5,1206809500
04-04-2024,S&P BSE SENSEX,BSESN,74413.82,74501.73,73485.12,74227.63,74227.63,10700
